"","iso2c","country","fpop_rate","p2000","p2000_a_1","p2000_a_2","p2000_a_3","p2000_f","p2000_f_1","p2000_f_2","p2000_f_3","p2000_nf_1","p2000_nf_2","p2000_nf_3","pdelt","pdelt_a_1","pdelt_a_2","pdelt_a_3","pdelt_f","pdelt_f_1","pdelt_f_2","pdelt_f_3","pdelt_nf_1","pdelt_nf_2","pdelt_nf_3","region","flood_mech","sum","iso3c","bias_factor","hrsl_data","region_mean_bias","region_sd_bias"
"19","ER","Eritrea",0,3672612.83367697,469619.175464293,1423570.83270368,1779422.825509,0,0,0,0,469619.175464293,1423570.83270368,1779422.825509,1761602.39567868,287684.397542473,712651.697035874,761266.30110033,0,0,0,0,287684.397542473,712651.697035874,761266.30110033,"Eastern Africa","surge",16302645.6880669,"ERI",2.72493003593815,"Y",0.658483593945378,0.779716391960583
"20","ET","Ethiopia",0,67175938.5079942,10853167.8326097,26095442.9859906,30227327.689394,0,0,0,0,10853167.8326097,26095442.9859906,30227327.689394,33368935.0861921,3853472.82408192,14417752.2670448,15097709.9950653,0,0,0,0,3853472.82408192,14417752.2670448,15097709.9950653,"Eastern Africa","surge",301634620.782559,"ETH",0.0831621196883188,"Y",0.658483593945378,0.779716391960583
"21","DJ","Djibouti",0,701885.97108513,86713.2971997583,191218.895143974,423953.778741398,0,0,0,0,86713.2971997583,191218.895143974,423953.778741398,168680.654279818,62296.0150868076,82275.9133586663,24108.725834344,0,0,0,0,62296.0150868076,82275.9133586663,24108.725834344,"Eastern Africa","surge",2611699.87609484,"DJI",0.409721850158591,"Y",0.658483593945378,0.779716391960583
"22","SO","Somalia",0,7472429.35518193,1732213.80037655,3080769.79457635,2659445.76022903,0,0,0,0,1732213.80037655,3080769.79457635,2659445.76022903,3442475.92335989,1143419.09961695,1198233.41936262,1100823.40438032,0,0,0,0,1143419.09961695,1198233.41936262,1100823.40438032,"Eastern Africa","surge",32744715.8356255,"SOM",0.658483593945378,"N",0.658483593945378,0.779716391960583
"23","OD","South Sudan",0,6959399.06813057,1292458.70952186,2720668.85249513,2946271.50611359,0,0,0,0,1292458.70952186,2720668.85249513,2946271.50611359,5749055.19532195,462979.241669938,2117989.8849572,3168086.06869482,0,0,0,0,462979.241669938,2117989.8849572,3168086.06869482,"Northern Africa","surge",38125362.7903576,"SSD",0.642679382720939,"N",0.642679382720939,0.317874432469545
"24","KE","Kenya",0,31048638.4279127,11802373.6786695,13531898.7543735,5714365.99486971,0,0,0,0,11802373.6786695,13531898.7543735,5714365.99486971,14978084.7364095,1565311.87939976,10044643.029405,3368129.82760469,0,0,0,0,1565311.87939976,10044643.029405,3368129.82760469,"Eastern Africa","surge",138080169.492966,"KEN",0.415094511563743,"Y",0.658483593945378,0.779716391960583
"25","UG","Uganda",0,23783253.0594397,5923922.92830862,13411838.9751854,4447491.15594569,0,0,0,0,5923922.92830862,13411838.9751854,4447491.15594569,15319373.3553603,1525661.83377178,10137042.8975028,3656668.62408567,0,0,0,0,1525661.83377178,10137042.8975028,3656668.62408567,"Eastern Africa","surge",117307879.2444,"UGA",0.406323603184298,"Y",0.658483593945378,0.779716391960583
"26","TZ","Tanzania",5.21977971916539,34073091.1866801,13830539.0039205,14139234.9828118,6103317.19994781,18.9877744059535,18.9877744059535,0,0,13830520.0161461,14139234.9828118,6103317.19994781,19529253.7365502,2489685.44194931,11145902.3969134,5893665.89768747,56.8068033796132,56.8068033796132,0,0,2489628.63514593,11145902.3969134,5893665.89768747,"Eastern Africa","surge",160807115.784048,"TZA",0.388810232958171,"Y",0.658483593945378,0.779716391960583
"27","MZ","Mozambique",1.05621626428476,18997685.8247059,4304260.02143007,7630870.16553675,7062555.63773909,61183.6621829594,17348.9464895349,32485.3175855592,11349.3981078653,4286911.07494054,7598384.84795119,7051206.23963123,10106419.2066634,1919499.64920341,4285407.37518007,3901512.18227994,34378.3418959724,21140.223307032,15881.485799574,-2643.36721063361,1898359.42589638,4269525.8893805,3904155.54949057,"Eastern Africa","surge",87407878.1544032,"MOZ",0.311256930742232,"Y",0.658483593945378,0.779716391960583
"28","CN","Comoros",0,513123.066711197,78699.9790572801,168248.284666731,266174.802987186,0,0,0,0,78699.9790572801,168248.284666731,266174.802987186,221374.811844641,44539.9515569831,82999.0029160987,93835.8573715593,0,0,0,0,44539.9515569831,82999.0029160987,93835.8573715593,"Eastern Africa","surge",2203493.63566751,"COM",0.658483593945378,"N",0.658483593945378,0.779716391960583
"29","MA","Madagascar",2.1259369622494,16546777.0367579,7041925.22769803,7285634.27721323,2219217.53184668,162677.076141576,48903.9766102601,40064.0752732948,73709.0242580213,6993021.25108777,7245570.20193994,2145508.50758866,8944287.68613333,2113346.67687197,4799513.53068352,2031427.47857783,186942.947309944,23311.2622927735,69655.1221106001,93976.5629065707,2090035.4145792,4729858.40857292,1937450.91567126,"Eastern Africa","surge",76822816.3180623,"MDG",0.304012171100025,"Y",0.658483593945378,0.779716391960583
"30","CV","Cabo Verde",0,437867.939884758,69558.164640916,296678.640506976,71631.1347368659,0,0,0,0,69558.164640916,296678.640506976,71631.1347368659,63010.6626964007,1974.83707719423,21729.3502874542,39306.4753317523,0,0,0,0,1974.83707719423,21729.3502874542,39306.4753317523,"Western Africa","surge",1502635.80774348,"CPV",0.266098533024611,"N",0.266098533024611,0.206658118060722
"31","WI","Western Sahara",0,334416.065657297,59248.8140416623,238796.039099178,36371.2125164569,0,0,0,0,59248.8140416623,238796.039099178,36371.2125164569,291115.169207054,41695.3657753706,180408.864620992,69010.9388106916,0,0,0,0,41695.3657753706,180408.864620992,69010.9388106916,"Northern Africa","surge",1876593.70459306,"ESH",0.642679382720939,"N",0.642679382720939,0.317874432469545
"32","MR","Mauritania",0,2782571.58471127,978227.675980239,1129227.86792966,675116.040801373,0,0,0,0,978227.675980239,1129227.86792966,675116.040801373,1386415.64494425,87112.5517781034,665854.321766864,633448.771399285,0,0,0,0,87112.5517781034,665854.321766864,633448.771399285,"Western Africa","surge",12506961.6889666,"MRT",0.0939814354512299,"Y",0.266098533024611,0.206658118060722
"33","MO","Morocco",0,34431738.4727033,8028148.2328313,9888289.04552855,16515301.1943434,0,0,0,0,8028148.2328313,9888289.04552855,16515301.1943434,6464929.53597107,688743.799122474,2005694.99123446,3770490.74561414,0,0,0,0,688743.799122474,2005694.99123446,3770490.74561414,"Northern Africa","surge",122690004.026023,"MAR",0.642679382720939,"N",0.642679382720939,0.317874432469545
"34","SP","Spain (Canary Is)",0,1839831.54060426,220474.140201158,702129.972997381,917227.427405725,0,0,0,0,220474.140201158,702129.972997381,917227.427405725,476649.360089404,57643.6820662245,185799.743869104,233205.934154075,0,0,0,0,57643.6820662245,185799.743869104,233205.934154075,"Southern Europe","surge",6949442.702081,"ESP",0.787808415557183,"Y",0.821498772634281,0.218724957314217
"35","PO","Portugal (Madeira Is)",0,309917.988544105,57716.6029483436,118257.549944969,133943.835650792,0,0,0,0,57716.6029483436,118257.549944969,133943.835650792,-3054.63855141276,-4301.84565905276,-11358.0588964155,12605.2660040555,0,0,0,0,-4301.84565905276,-11358.0588964155,12605.2660040555,"Southern Europe","surge",920590.049978075,"PRT",1.12212544434749,"Y",0.821498772634281,0.218724957314217
"36","SP","Spain (Africa)",0,183607.058529808,917.987133710613,10359.1871811532,172329.884214944,0,0,0,0,917.987133710613,10359.1871811532,172329.884214944,39119.956842303,364.037426270647,935.093503302102,37820.8259127302,0,0,0,0,364.037426270647,935.093503302102,37820.8259127302,"Southern Europe","surge",668181.046116333,"ESP",0.787808415557183,"Y",0.821498772634281,0.218724957314217
"37","AG","Algeria",0,38224905.3314546,6237524.95548583,15674815.1187275,16312565.2572413,0,0,0,0,6237524.95548583,15674815.1187275,16312565.2572413,10380290.9410404,1150208.88985162,3608719.53535389,5621362.51583485,0,0,0,0,1150208.88985162,3608719.53535389,5621362.51583485,"Northern Africa","surge",145815588.817485,"DZA",0.617166313713029,"Y",0.642679382720939,0.317874432469545
"38","ML","Mali",0,11383702.6303968,4911694.84470204,4119899.10439432,2352108.6813004,0,0,0,0,4911694.84470204,4119899.10439432,2352108.6813004,6712603.22136496,1428469.73006451,2762950.41049207,2521183.08080838,0,0,0,0,1428469.73006451,2762950.41049207,2521183.08080838,"Western Africa","surge",54288917.5552852,"MLI",0.586474719264659,"Y",0.266098533024611,0.206658118060722
"39","UV","Burkina Faso",0,11799960.2623142,3812347.75655921,4990374.22243799,2997238.28331697,0,0,0,0,3812347.75655921,4990374.22243799,2997238.28331697,6662576.64672943,1312385.19151203,2585307.15603552,2764884.29918188,0,0,0,0,1312385.19151203,2585307.15603552,2764884.29918188,"Western Africa","surge",55387610.7271308,"BFA",0.0535778933448806,"Y",0.266098533024611,0.206658118060722
"40","TO","Togo",0,4867153.37014376,851978.936589968,1571112.42783184,2444062.00572195,0,0,0,0,851978.936589968,1571112.42783184,2444062.00572195,2401220.2617061,473218.626289595,507967.01974509,1420034.61567142,0,0,0,0,473218.626289595,507967.01974509,1420034.61567142,"Western Africa","surge",21805120.8955496,"TGO",0.10217720892483,"Y",0.266098533024611,0.206658118060722
"41","GH","Ghana",0,18980094.9022783,4073463.3340447,6788502.31553407,8118129.2526995,0,0,0,0,4073463.3340447,6788502.31553407,8118129.2526995,8681003.51751377,2004294.24096649,2120927.05172997,4555782.22481732,0,0,0,0,2004294.24096649,2120927.05172997,4555782.22481732,"Western Africa","surge",82983295.2593761,"GHA",0.158403705346184,"Y",0.266098533024611,0.206658118060722
"42","IV","Cote d'Ivoire",0,16627593.2833493,6090372.09302905,4805833.13845834,5731388.05186195,0,0,0,0,6090372.09302905,4805833.13845834,5731388.05186195,6248010.73057454,2807196.37371036,1574880.9877003,1865933.36916388,0,0,0,0,2807196.37371036,1574880.9877003,1865933.36916388,"Western Africa","surge",68626812.0417716,"CIV",0.340956570004154,"Y",0.266098533024611,0.206658118060722
"43","GV","Guinea",0,8951269.56233153,3535854.37160157,2805537.13905161,2609878.05167834,0,0,0,0,3535854.37160157,2805537.13905161,2609878.05167834,3837945.22920031,1225476.8516181,1133296.74746203,1479171.63012018,0,0,0,0,1225476.8516181,1133296.74746203,1479171.63012018,"Western Africa","surge",38367644.3745955,"GIN",0.144155696098122,"Y",0.266098533024611,0.206658118060722
"44","SG","Senegal",0,10126540.9698418,1242389.25754081,2095722.09130406,6788429.62099692,0,0,0,0,1242389.25754081,2095722.09130406,6788429.62099692,5406249.89062131,835318.644564095,1232320.84878698,3338610.39727023,0,0,0,0,835318.644564095,1232320.84878698,3338610.39727023,"Western Africa","surge",46598372.5813893,"SEN",0.155736171089451,"Y",0.266098533024611,0.206658118060722
"45","GA","Gambia, The",0,1264207.58997902,338224.980367966,391767.383962407,534215.225648649,0,0,0,0,338224.980367966,391767.383962407,534215.225648649,782217.512670152,162783.862431445,213585.280287545,405848.369951162,0,0,0,0,162783.862431445,213585.280287545,405848.369951162,"Western Africa","surge",6139275.30794752,"GMB",0.42086075745103,"Y",0.266098533024611,0.206658118060722
"46","PU","Guinea-Bissau",0,1331132.94820459,397709.442993483,480390.49198869,453033.013222417,0,0,0,0,397709.442993483,480390.49198869,453033.013222417,542219.131893313,131426.073653024,124123.838993288,286669.219247,0,0,0,0,131426.073653024,124123.838993288,286669.219247,"Western Africa","surge",5620056.24029371,"GNB",0.00657067062119859,"Y",0.266098533024611,0.206658118060722
"47","SL","Sierra Leone",0,4026613.86700843,1532644.00336216,1375367.46835416,1118602.39529211,0,0,0,0,1532644.00336216,1375367.46835416,1118602.39529211,2411609.55792517,867780.227911922,767465.035489936,776364.294523316,0,0,0,0,867780.227911922,767465.035489936,776364.294523316,"Western Africa","surge",19314670.2748008,"SLE",0.711446745699142,"Y",0.266098533024611,0.206658118060722
"48","LI","Liberia",0,2892476.42673549,1401531.37223555,650958.286926921,839986.767573017,0,0,0,0,1401531.37223555,650958.286926921,839986.767573017,1608944.29922429,657093.216543215,268007.315588427,683843.767092646,0,0,0,0,657093.216543215,268007.315588427,683843.767092646,"Western Africa","surge",13504262.1778793,"LBR",0.490910798817984,"Y",0.266098533024611,0.206658118060722
"49","BN","Benin",0,6961331.2515974,1075607.38040289,2895231.40991623,2990492.46127828,0,0,0,0,1075607.38040289,2895231.40991623,2990492.46127828,3956069.08682042,919285.56263557,1555653.56212477,1481129.96206008,0,0,0,0,919285.56263557,1555653.56212477,1481129.96206008,"Western Africa","surge",32752201.0152535,"BEN",0.394841250893438,"Y",0.266098533024611,0.206658118060722
"50","NI","Nigeria",0,124492501.138034,14924642.1500598,42729242.4584331,66838616.5295407,0,0,0,0,14924642.1500598,42729242.4584331,66838616.5295407,60100492.7061281,11166940.3792358,20862789.8688364,28070762.4580559,0,0,0,0,11166940.3792358,20862789.8688364,28070762.4580559,"Western Africa","surge",553778981.532485,"NGA",0.118441017189575,"Y",0.266098533024611,0.206658118060722
"51","CM","Cameroon",0,15871036.8778268,3005804.41193431,4680265.73852858,8184966.72736394,0,0,0,0,3005804.41193431,4680265.73852858,8184966.72736394,7314129.37806286,1396642.69306122,1430721.37100998,4486765.31399166,0,0,0,0,1396642.69306122,1430721.37100998,4486765.31399166,"Middle Africa","surge",69555498.7676691,"CMR",0.211001083790453,"Y",0.344372894192391,0.266766557072792
"52","EK","Equatorial Guinea",0,517320.443338804,243304.969604329,103445.321666012,170570.152068462,0,0,0,0,243304.969604329,103445.321666012,170570.152068462,300411.260162005,77695.4893465934,38099.0235970256,184616.747218386,0,0,0,0,77695.4893465934,38099.0235970256,184616.747218386,"Middle Africa","surge",2453195.11050243,"GNQ",0.344372894192391,"N",0.344372894192391,0.266766557072792
"53","TP","Sao Tome & Principe",0,125728.31034753,24650.5762162809,17736.3021604312,83341.4319708177,0,0,0,0,24650.5762162809,17736.3021604312,83341.4319708177,50336.4940557344,11840.3893811778,8684.94295876483,29811.1617157917,0,0,0,0,11840.3893811778,8684.94295876483,29811.1617157917,"Middle Africa","surge",528194.413209792,"STP",0.344372894192391,"N",0.344372894192391,0.266766557072792
"54","GB","Gabon",0,1219002.91472161,344242.161351444,274020.393104154,600740.360266011,0,0,0,0,344242.161351444,274020.393104154,600740.360266011,488276.418166,147256.464035824,124569.377688732,216450.576441443,0,0,0,0,147256.464035824,124569.377688732,216450.576441443,"Middle Africa","surge",5121837.99866283,"GAB",0.344372894192391,"N",0.344372894192391,0.266766557072792
"55","CF","Rep of the Congo",0,3092225.65115711,656877.855781486,336626.215942768,2098721.57943285,0,0,0,0,656877.855781486,336626.215942768,2098721.57943285,1556276.37676985,461604.661752519,324258.230024044,770413.484993284,0,0,0,0,461604.661752519,324258.230024044,770413.484993284,"Middle Africa","surge",13945506.0837809,"COG",0.121399869309374,"Y",0.344372894192391,0.266766557072792
"56","CT","Central African Rep",0,3777797.98302167,1283325.7917978,1666448.70714766,828023.484076209,0,0,0,0,1283325.7917978,1666448.70714766,828023.484076209,1225873.29533896,463232.958808186,447002.026419725,315638.310111045,0,0,0,0,463232.958808186,447002.026419725,315638.310111045,"Middle Africa","surge",15011013.8350819,"CAF",0.0179530119238978,"Y",0.344372894192391,0.266766557072792
"57","CG","Dem Rep of the Congo",0,48343064.1136103,13182432.0933616,14108228.49516,21052403.5250887,0,0,0,0,13182432.0933616,14108228.49516,21052403.5250887,29404099.8242471,7731814.96345952,8952654.59337861,12719630.267409,0,0,0,0,7731814.96345952,8952654.59337861,12719630.267409,"Middle Africa","surge",233241491.813572,"COD",0.539041516457988,"Y",0.344372894192391,0.266766557072792
"58","HK","Hong Kong",0,5945602.73014738,30318.197341817,145055.322222327,5770229.21058324,0,0,0,0,30318.197341817,145055.322222327,5770229.21058324,479895.904245883,3693.39273987768,7915.40479592609,468287.106710079,0,0,0,0,3693.39273987768,7915.40479592609,468287.106710079,"Eastern Asia","surge",19276495.9031798,"HKG",1.06864565693104,"Y",0.881234476849142,0.208804296814393
"59","MC","Macau",0,383380.709555489,0.810397470698637,0,383379.899158018,0,0,0,0,0.810397470698637,0,383379.899158018,106413.502976428,0.892090362661025,0,106412.610886066,0,0,0,0,0.892090362661025,0,106412.610886066,"Eastern Asia","surge",1469382.63759575,"MAC",0.964472402484921,"Y",0.881234476849142,0.208804296814393
"60","TW","Taiwan",1.63436179752279,23904263.8856742,1167838.64116549,4361829.19140455,18374596.0531041,74693.9411371968,36158.0969423474,29992.8857192496,8542.95847559984,1131680.54422314,4331836.3056853,18366053.0946285,1581967.7261829,37458.8036369337,-48607.4806911604,1593116.40323713,8078.9667754164,2697.3949201453,4009.53713645798,1372.03471881311,34761.4087167884,-52617.0178276184,1591744.36851831,"Eastern Asia","surge",76541469.3778456,"TWN",1.20978602604685,"Y",0.881234476849142,0.208804296814393
"61","JA","Japan",17.2762357458114,151281040.08924,12528206.9551624,34852282.7531158,103900550.380962,158901.448184076,18834.0271543349,51147.3353049605,88920.0857247803,12509372.928008,34801135.4178108,103811630.295237,846010.007143612,-254168.542216212,-1106427.19819339,2206605.74755322,15352.1065310955,2929.4701309793,11008.8970095448,1413.7393905714,-257098.012347192,-1117436.09520294,2205192.00816265,"Eastern Asia","surge",456555421.120102,"JPN",0.772993492185228,"Y",0.881234476849142,0.208804296814393
"62","KS","Korea, South",-0.452821697520587,56424499.7339745,4254402.77501219,7976805.07146565,44193291.8874966,342730.584609414,9154.69394592721,42010.5961900372,291565.294473449,4245248.08106626,7934794.47527562,43901726.5930232,5174398.23063013,-233712.920764994,1130615.36443429,4277495.78696083,-14232.206047916,1180.63403070585,-295.749838827073,-15117.0902397947,-234893.5547957,1130911.11427312,4292612.87720063,"Eastern Asia","surge",185125191.819554,"KOR",0.810885384686973,"Y",0.881234476849142,0.208804296814393
"63","KN","Korea, North",0.109527165124313,29316849.1425167,3530986.07687924,11576063.1326831,14209799.9329543,522413.556440509,20271.197014414,77448.9052504251,424693.45417567,3510714.87986483,11498614.2274327,13785106.4787786,2899168.92459012,785571.226241294,1194794.35664233,918803.341706491,5658.38526226613,9399.20004801297,23242.4816764255,-26983.2964621724,776172.026193281,1171551.87496591,945786.638168663,"Eastern Asia","surge",97176126.2525503,"PRK",0.881234476849142,"N",0.881234476849142,0.208804296814393
"64","UU","Korean Is. (UN Jurisdiction)",0,9277.72237308513,9277.72237308513,0,0,0,0,0,0,9277.72237308513,0,0,222.07152893734,222.07152893734,0,0,0,0,0,0,222.07152893734,0,0,"Eastern Asia","surge",28499.3817060674,"KOR",0.810885384686973,"Y",0.881234476849142,0.208804296814393
"65","CH","China",3.36599154494862,488377873.666099,78246488.2196026,190859434.189627,219271951.256869,475356.254568494,109005.001847641,142254.317130784,224096.935590069,78137483.217755,190717179.872496,219047854.321279,49793995.3762757,1662057.62955169,19094213.8347654,29037723.9119586,163137.284234458,36072.7211879978,98073.1645726323,28991.3984738279,1625984.90836369,18996140.6701928,29008732.5134847,"Eastern Asia","surge",1615154104.03192,"CHN",0.881234476849142,"N",0.881234476849142,0.208804296814393
"66","CH","China",0,47105880.1486317,18923011.4581029,12994727.4664741,15188141.2240547,0,0,0,0,18923011.4581029,12994727.4664741,15188141.2240547,8454010.88159592,-431485.632684239,4808718.36251156,4076778.1517686,0,0,0,0,-431485.632684239,4808718.36251156,4076778.1517686,"Eastern Asia","surge",166679673.090683,"CHN",0.881234476849142,"N",0.881234476849142,0.208804296814393
"67","CH","China",-2.23127147839092,110800185.927657,23296240.9302327,50175620.2858472,37328324.7115772,56305.1825828166,7225.76427975157,34255.2076039836,14824.2106990814,23289015.1659529,50141365.0782432,37313500.5008781,7318893.74667052,-1301048.21806515,4815978.37545046,3803963.58928521,-8298.61732227792,27.0047184632276,-7496.04478239268,-829.577258348465,-1301075.22278361,4823474.42023285,3804793.16654356,"Eastern Asia","surge",354405243.356972,"CHN",0.881234476849142,"N",0.881234476849142,0.208804296814393
"68","CH","China",6.63812405785964,868591314.062752,103122274.321427,375907953.843855,389561085.89747,1203165.84717012,179266.70872611,512739.136575057,511160.001868957,102943007.612701,375395214.70728,389049925.895601,58871237.2253047,-2432491.070695,7230501.05697077,54073227.2390289,541325.568952807,133051.340200586,296971.294914037,111302.933838183,-2565542.41089558,6933529.76205674,53961924.3051908,"Eastern Asia","surge",2784132151.91842,"CHN",0.881234476849142,"N",0.881234476849142,0.208804296814393
