,country_name,iso3c,iso2c,world_region,floodpop_ghsl_rural,floodpop_ghsl_semiurban,floodpop_ghsl_urban,floodpop_gridpop3_rural,floodpop_gridpop3_semiurban,floodpop_gridpop3_urban,floodpop_hrsl_rural,floodpop_hrsl_semiurban,floodpop_hrsl_urban,floodpop_ghsl_tot,floodpop_gridpop3_tot,floodpop_hrsl_tot,bias_factor
68,Guinea-Bissau,GNB,PU,Africa,10807.59817,12133.39927,0,0,0,0,150.7377379,0,0,22940.99744,0,150.7377379,0.006570671
69,Guyana,GUY,GY,South America,15730.26981,5873.69759,27231.46586,0,0,0,2581.841962,5701.261443,25275.21266,48835.43326,27231.46586,33558.31607,0.687171462
70,Haiti,HTI,HA,Caribbean,10493.6478,39584.80637,50784.02412,0,0,0,1780.410733,2824.52291,39032.64583,100862.4783,50784.02412,43637.57947,0.432644331
71,Honduras,HND,HO,Central America,9528.295462,2552.429838,13.31714153,0,0,0,5715.345403,1436.102204,0,12094.04244,13.31714153,7151.447607,0.59131987
72,Hong Kong,HKG,HK,E Asia,1642.095519,10845.04937,972617.0062,0,0,0,2088.239618,8380.814068,1042258.219,985104.1511,972617.0062,1052727.273,1.068645657
73,Hungary,HUN,HU,Europe,26524.58373,14454.31636,31867.35347,0,0,0,15626.94166,8869.740313,34662.00165,72846.25356,31867.35347,59158.68362,0.81210331
74,Iceland,ISL,IC,Europe,0,0,0,0,0,0,0,0,0,0,0,0,NA
75,Indonesia,IDN,ID,SE Asia,624113.8354,2135126.825,3980091.898,0,0,0,1578386.863,1421321.611,1090507.362,6739332.558,3980091.898,4090215.836,0.60691705
76,Iraq,IRQ,IZ,SW Asia,125415.6077,273322.6878,14184.69067,0,0,0,127610.3343,19754.17537,10677.16928,412922.9862,14184.69067,158041.679,0.382738874
77,Ireland,IRL,EI,Europe,188991.4272,194472.3937,396814.7674,0,0,0,177548.6482,189949.5742,399145.8927,780278.5883,396814.7674,766644.1151,0.982526147
78,Italy,ITA,IT,Europe,86872.54463,123037.4346,91739.88788,0,0,0,51519.97174,110444.8849,124040.6032,301649.8671,91739.88788,286005.4598,0.948137198
79,Jamaica,JAM,JM,Caribbean,883.8198321,2345.594765,2548.892403,0,0,0,188.014518,315.7591464,0,5778.307,2548.892403,503.7736644,0.08718361
80,Japan,JPN,JA,E Asia,19772.42061,64450.01984,260115.2871,0,0,0,13114.51726,30049.01795,223007.2873,344337.7276,260115.2871,266170.8225,0.772993492
81,Jordan,JOR,JO,SW Asia,281.3508816,0,0,0,0,0,97.13438265,0,0,281.3508816,0,97.13438265,0.345242859
82,Kazakhstan,KAZ,KZ,Central Asia,149030.7704,311071.3951,209622.033,0,0,0,205834.9302,130676.6242,77328.11887,669724.1985,209622.033,413839.6733,0.617925519
83,Kenya,KEN,KE,Africa,67677.64507,67758.77517,11211.09781,155.6358376,0,0,36711.59295,9275.309887,14885.67704,146647.5181,11366.73365,60872.57988,0.415094512
84,Kiribati,KIR,KR,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
85,"Korea, South",KOR,KS,E Asia,8885.087796,39824.33089,227229.0891,0,0,0,8681.014096,14319.86254,200753.6264,275938.5078,227229.0891,223754.503,0.810885385
86,Kuwait,KWT,KU,SW Asia,782.0406021,1239.812033,2732.532285,0,0,0,191.607308,897.1184104,2793.292364,4754.38492,2732.532285,3882.018082,0.816513208
87,Kyrgyzstan,KGZ,KG,Central Asia,983.1962509,10329.81803,2065.082376,0,0,0,4733.867444,5603.870364,1960.284234,13378.09666,2065.082376,12298.02204,0.91926545
88,Laos,LAO,LA,SE Asia,195078.7391,469527.168,90526.30608,0,0,0,354677.497,103821.8473,58725.56078,755132.2132,90526.30608,517224.9051,0.684946154
89,Latvia,LVA,LG,Europe,10498.26686,8667.091746,14017.16147,0,0,0,16916.55292,4961.647092,12322.62327,33182.52008,14017.16147,34200.82328,1.030687941
90,Lebanon,LBN,LE,SW Asia,1468.025483,5567.494294,56923.00067,0,0,0,3326.982953,7221.892137,42204.42557,63958.52045,56923.00067,52753.30066,0.824804894
91,Lesotho,LSO,LT,Africa,531.2649689,0,0,0,0,0,44.76580005,0,0,531.2649689,0,44.76580005,0.084262661
92,Liberia,LBR,LI,Africa,2199.253802,356.0422852,8137.126509,0,0,0,1667.687146,0,3581.338572,10692.4226,8137.126509,5249.025718,0.490910799
93,Libya,LBY,LY,Africa,0,0,0,0,0,0,0,0,0,0,0,0,NA
94,Liechtenstein,LIE,LS,Europe,0,0,0,0,0,0,0,0,0,0,0,0,NA
95,Lithuania,LTU,LH,Europe,1456.944475,1787.104534,2953.804863,0,0,0,5198.015458,713.2685441,1819.216822,6197.853872,2953.804863,7730.500824,1.24728672
96,Macau,MAC,MC,E Asia,0,0,278883.5889,0,0,0,0,0,268975.525,278883.5889,278883.5889,268975.525,0.964472402
97,Macedonia,MKD,MK,Europe,10083.52799,13100.48874,15166.13685,0,0,0,12463.96695,5851.218298,9207.594637,38350.15358,15166.13685,27522.77989,0.717670656
98,Madagascar,MDG,MA,Africa,84114.5676,224053.6307,280901.712,0,0,0,77624.64424,10642.60841,90817.16971,589069.9103,280901.712,179084.4224,0.304012171
99,Malawi,MWI,MI,Africa,29272.8339,20181.94354,25105.91498,13.87614194,0,0,11040.34102,3152.798921,2422.512531,74560.69242,25119.79112,16615.65247,0.222847347
100,Malaysia,MYS,MY,SE Asia,64348.08043,96834.4108,128762.4015,0,0,0,56934.38502,53107.43525,110492.6535,289944.8927,128762.4015,220534.4738,0.760608237
101,Maldives,MDV,MV,S Asia,0,0,0,0,0,0,0,0,0,0,0,0,NA
102,Mali,MLI,ML,Africa,39007.88155,72471.7734,19746.81197,0,0,0,63102.51282,7469.158715,6389.333812,131226.4669,19746.81197,76961.00535,0.586474719
103,Malta,MLT,MT,Europe,0,0,0,0,0,0,0,0,0,0,0,0,NA
104,Marshall Is,MHL,RM,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
105,Mauritania,MRT,MR,Africa,2291.090027,22506.11098,17.23035812,0,0,0,2117.117549,214.9783306,0,24814.43137,17.23035812,2332.09588,0.093981435
106,Mauritius,MUS,MP,Indian Ocean,0,0,0,0,0,0,0,0,0,0,0,0,NA
107,Mayotte,MYT,MF,Africa,0,0,0,0,0,0,0,0,0,0,0,0,NA
108,Mexico,MEX,MX,North America,155863.2079,57934.84961,68891.40836,0,0,0,85346.03553,22733.02257,63199.30384,282689.4659,68891.40836,171278.3619,0.605888732
109,Moldova,MDA,MD,Europe,5948.662222,3329.387317,4208.16816,0,0,0,4796.701315,2846.238351,2213.97465,13486.2177,4208.16816,9856.914316,0.730887973
110,Monaco,MCO,MN,Europe,0,0,0,0,0,0,0,0,0,0,0,0,NA
111,Mongolia,MNG,MG,N Asia,1251.305765,0,0,0,0,0,664.4095646,0,0,1251.305765,0,664.4095646,0.530972991
112,Montserrat,MSR,MH,Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,NA
113,Mozambique,MOZ,MZ,Africa,131889.9309,172369.6786,70432.36077,68091.37385,5964.107981,14706.9771,82176.28918,10196.18202,24253.00144,374691.9703,144487.8426,116625.4726,0.311256931
114,Namibia,NAM,WA,Africa,16694.05063,1603.323093,0,0,0,0,17106.13973,2475.123618,0,18297.37372,0,19581.26335,1.070167973
115,Nauru,NRU,NR,Oceania,0,0,0,0,0,0,0,0,0,0,0,0,NA
116,Nepal,NPL,NP,S Asia,79138.43893,1240767.128,481824.8466,0,0,0,447984.5264,753033.8907,212341.3483,1801730.414,481824.8466,1413359.765,0.78444575
