system:index,CLOUD_COVER,DELTA,DFO_ID,LANDSAT_5,LANDSAT_7,LANDSAT_8,LANDSAT_ALL,X,Y,.geo
DFO_2264_From_20030625_to_20030626,20,1,2264.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2269_From_20030701_to_20030807,20,1,2269.0,2,0,0,2,114.39815670349283,33.83950016194159,
DFO_2273_From_20030705_to_20030721,20,1,2273.0,0,0,0,0,-85.56364238347484,40.91442019941432,
DFO_2276_From_20030702_to_20030901,20,1,2276.0,0,0,0,0,94.73292509192643,22.137452979349113,
DFO_2279_From_20030715_to_20030901,20,1,2279.0,0,0,0,0,75.70912347371349,29.19383403817039,
DFO_2284_From_20030719_to_20030723,20,1,2284.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2296_From_20030727_to_20031010,20,1,2296.0,0,5,0,5,127.22284250430752,48.16331835865887,
DFO_2303_From_20030803_to_20031102,20,1,2303.0,0,2,0,2,15.595864507292738,13.126172128324999,
DFO_2311_From_20030805_to_20031012,20,1,2311.0,0,1,0,1,1.1542535405604974,15.77536918569909,
DFO_2330_From_20030824_to_20030827,20,1,2330.0,0,0,0,0,146.15589672614684,-41.59661501188001,
DFO_2332_From_20030824_to_20031112,20,1,2332.0,3,0,0,3,106.62694171914052,33.22403358655382,
DFO_2336_From_20030827_to_20030829,20,1,2336.0,0,0,0,0,44.94609519217626,45.97211194176827,
DFO_2337_From_20030826_to_20030830,20,1,2337.0,0,0,0,0,101.84240983025684,30.245977434164775,
DFO_2338_From_20030827_to_20031020,20,1,2338.0,0,0,0,0,85.81621158201825,20.77434523070911,
DFO_2342_From_20030901_to_20030909,20,1,2342.0,2,0,0,2,-83.61067447183514,38.252310383804044,
DFO_2345_From_20030905_to_20031028,20,1,2345.0,0,3,0,3,9.121174201435744,11.958452399505601,
DFO_2347_From_20030912_to_20031012,20,1,2347.0,0,0,0,0,99.10100704465981,20.892211846962883,
DFO_2348_From_20030912_to_20030915,20,1,2348.0,0,0,0,0,127.82352737892754,37.18019896756526,
DFO_2356_From_20030922_to_20031001,20,1,2356.0,0,0,0,0,-110.64064905880623,26.924653838461314,
DFO_2359_From_20030922_to_20030923,20,1,2359.0,0,0,0,0,1.403945218400345,41.96647776151103,
DFO_2361_From_20030922_to_20031010,20,1,2361.0,0,0,0,0,11.306463996831692,9.632291006322337,
DFO_2366_From_20031012_to_20031024,20,1,2366.0,3,0,0,3,-102.23154718205042,30.185160414114094,
DFO_2368_From_20031015_to_20031022,20,1,2368.0,0,0,0,0,106.26508353333861,15.551635839798266,
DFO_2370_From_20031017_to_20031104,20,1,2370.0,0,0,0,0,102.21929618548845,10.44293701359391,
DFO_2372_From_20031027_to_20031031,20,1,2372.0,0,0,0,0,-52.133713894529514,-28.261709473572306,
DFO_2380_From_20031110_to_20031126,20,1,2380.0,0,0,0,0,-68.10073571779908,17.67775167487643,
DFO_2381_From_20031111_to_20031113,20,1,2381.0,0,0,0,0,-62.685630921137836,-30.93949159377608,
DFO_2386_From_20031101_to_20040118,20,1,2386.0,0,0,0,0,-4.790266258531155,37.40094292674388,
DFO_2395_From_20031201_to_20031210,20,1,2395.0,0,1,0,1,1.40333868569137,42.821605726961906,
DFO_2403_From_20031210_to_20040123,20,1,2403.0,0,0,0,0,113.61505037867924,-0.9803471424625828,
DFO_2407_From_20031219_to_20040107,20,1,2407.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2412_From_20040104_to_20040116,20,1,2412.0,0,0,0,0,-83.99783100645561,39.58249942338773,
DFO_2415_From_20040110_to_20040119,20,1,2415.0,0,0,0,0,50.90745863937889,28.794864350016233,
DFO_2417_From_20040114_to_20040225,20,1,2417.0,0,4,0,4,143.46662489320454,-21.78744414287607,
DFO_2423_From_20040125_to_20040206,20,1,2423.0,0,0,0,0,31.66336847355492,-25.219637638039693,
DFO_2424_From_20040129_to_20040205,20,1,2424.0,0,0,0,0,146.15589672614684,-41.59661501188001,
DFO_2425_From_20040127_to_20040301,20,1,2425.0,0,0,0,0,16.08099539776621,-13.84878525555117,
DFO_2426_From_20040130_to_20040302,20,1,2426.0,0,0,0,0,68.23604190542667,43.60500613997292,
DFO_2428_From_20040203_to_20040207,20,1,2428.0,0,0,0,0,-2.892580082228686,54.48684297079539,
DFO_2430_From_20040201_to_20040602,20,1,2430.0,0,1,0,1,23.073166295099014,-11.227882156159438,
DFO_2431_From_20040108_to_20040220,20,1,2431.0,0,0,0,0,46.97401699812138,-18.624083991258004,
DFO_2432_From_20040116_to_20040225,20,1,2432.0,0,0,0,0,44.575542349798006,31.770598129232564,
DFO_2433_From_20040124_to_20040214,20,1,2433.0,0,0,0,0,32.05760839333071,34.96255438451016,
DFO_2434_From_20040211_to_20040225,20,1,2434.0,0,0,0,0,121.89025046398336,12.064047356711951,
DFO_2437_From_20040217_to_20040225,20,1,2437.0,0,0,0,0,110.50400891281373,-7.290344148117991,
DFO_2440_From_20040211_to_20040505,20,1,2440.0,0,0,0,0,-50.719991333132064,-9.716661817035085,
DFO_2441_From_20040218_to_20040310,20,1,2441.0,0,0,0,0,132.08372200954642,-16.079204003887952,
DFO_2442_From_20040220_to_20040307,20,1,2442.0,0,0,0,0,126.04602588461289,-16.67549300083388,
DFO_2443_From_20040223_to_20040401,20,1,2443.0,0,2,0,2,-65.4501287792295,-11.779090633620221,
DFO_2444_From_20040301_to_20040309,20,1,2444.0,0,2,0,2,117.87693656120793,-22.194909689469554,
DFO_2448_From_20040305_to_20040319,20,1,2448.0,0,0,0,0,32.806463458247876,-21.342948828262795,
DFO_2455_From_20040304_to_20040308,20,1,2455.0,0,3,0,3,-101.11311113910031,42.05512868026542,
