iso2c,country,fpop_rate,pop2000,pop_2000_all_rural,pop_2000_all_semiurban,pop_2000_all_urban,pop2000_flood,pop_2000_flood_rural,pop_2000_flood_semiurban,pop_2000_flood_urban,pop_2000_nonflood_rural,pop_2000_nonflood_semiurban,pop_2000_nonflood_urban,popdelta,pop_delta_all_rural,pop_delta_all_semiurban,pop_delta_all_urban,pdelta_flood,pop_delta_flood_rural,pop_delta_flood_semiurban,pop_delta_flood_urban,pop_delta_nonflood_rural,pop_delta_nonflood_semiurban,pop_delta_nonflood_urban,region,iso3c,bias_factor,hrsl_data,region_mean_bias,region_sd_bias
VI,British Virgin Is,0,14762.87399,6291.487144,8471.386844,0,0,0,0,0,6291.487144,8471.386844,0,7933.37525,3001.906867,4931.468383,0,0,0,0,0,3001.906867,4931.468383,0,Caribbean,VGB,0.644974975,N,0.644974975,0.57296489
AC,Antigua & Barbuda,0,79523.06844,19651.79926,59871.26917,0,0,0,0,0,19651.79926,59871.26917,0,14505.09621,4710.615954,9794.48026,0,0,0,0,0,4710.615954,9794.48026,0,Caribbean,ATG,0.158769136,Y,0.644974975,0.57296489
TB,St Barthelemy,0,6918.696088,986.9581625,5931.737926,0,0,0,0,0,986.9581625,5931.737926,0,3366.290635,583.3698483,2782.920787,0,0,0,0,0,583.3698483,2782.920787,0,Caribbean,BLM,0.644974975,N,0.644974975,0.57296489
NL,Netherlands (Caribbean),0,13163.0629,9313.820176,3849.242726,0,0,0,0,0,9313.820176,3849.242726,0,9481.16528,7007.027693,2474.137587,0,0,0,0,0,7007.027693,2474.137587,0,Caribbean,BES,0.644974975,N,0.644974975,0.57296489
AV,Anguilla,0,11528.7472,2600.5358,8928.2114,0,0,0,0,0,2600.5358,8928.2114,0,3729.98007,966.4210419,2763.559028,0,0,0,0,0,966.4210419,2763.559028,0,Caribbean,AIA,0.644974975,N,0.644974975,0.57296489
NN,Sint Maarten,0,33270.80807,1965.976178,31304.83189,0,0,0,0,0,1965.976178,31304.83189,0,7420.0775,402.3421233,7017.735377,0,0,0,0,0,402.3421233,7017.735377,0,Caribbean,SXM,0.644974975,N,0.644974975,0.57296489
SC,St Kitts & Nevis,0,43860.28409,15853.17565,28007.10845,0,0,0,0,0,15853.17565,28007.10845,0,10645.22913,4991.086695,5654.142435,0,0,0,0,0,4991.086695,5654.142435,0,Caribbean,KNA,0.644974975,N,0.644974975,0.57296489
MH,Montserrat,0,5077.884337,5077.884337,0,0,0,0,0,0,5077.884337,0,0,176.5790314,176.5790314,0,0,0,0,0,0,176.5790314,0,0,Caribbean,MSR,0.644974975,N,0.644974975,0.57296489
GP,Guadeloupe,0,335794.9016,84880.84194,192755.1939,58158.86581,0,0,0,0,84880.84194,192755.1939,58158.86581,25619.56209,7705.95902,24777.38568,-6863.782608,0,0,0,0,7705.95902,24777.38568,-6863.782608,Caribbean,GLP,0.958929502,Y,0.644974975,0.57296489
DO,Dominica,0,63573.27417,32923.82239,30649.45179,0,0,0,0,0,32923.82239,30649.45179,0,4043.043306,-803.5456485,4846.588954,0,0,0,0,0,-803.5456485,4846.588954,0,Caribbean,DMA,0.198685359,Y,0.644974975,0.57296489
